,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
adhesion,3133,5277,5010,4692,6756,7757,9781,10688,14476,15699,21498,23187,25499,29650,37813,42061,32944,41666,37829
bone,4416,8554,6482,7124,10984,11158,15545,21491,24954,29724,37471,42561,49985,60763,72326,80644,87298,97802,94862
polymer,6497,6240,8780,10643,14336,16421,23968,31701,42784,48136,62706,67499,80473,98028,124439,139340,146019,177353,158907
hydrogel,1669,1011,1633,1224,2753,2849,5013,5485,7347,10935,15004,19023,24215,30964,41810,47315,44573,61021,62601
tissue engineering,1666,2033,2415,3527,5626,6214,10066,17393,17040,21635,31789,37069,43379,49548,59680,60593,64866,73907,74267
regeneration,1107,1752,1609,1748,3073,3271,6473,8384,11207,12576,17325,20496,26672,31611,38889,46433,47490,53572,56000
scaffold,735,1299,1713,2817,4744,5885,9713,14268,18594,20533,30731,34105,39600,48708,66434,67601,67391,79037,76519
chitosan,486,391,289,1011,915,1519,2472,2293,5406,6403,6070,8215,11375,16535,16392,16948,21793,24216,26203
microstructure,655,606,796,818,1360,1846,2569,3415,2741,4364,6015,7123,9154,9257,14662,16971,14671,16870,19531
nanoparticles,34,712,106,709,1024,2264,3962,6829,14692,17346,21950,26854,33341,46459,59428,68945,86023,100221,86712
