,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
adhesion,0,2.0,0.0,0.0,0,4.0,23.0,25,200,492,793,830,942,1087,1607,1615,1266,1790,1442
bone,0,8.0,1.0,0.0,0,0.0,7.0,44,284,719,1151,1252,1496,1858,2450,2617,2521,3107,2651
chitosan,0,0.0,0.0,0.0,0,0.0,0.0,5,42,217,242,245,386,522,556,671,664,790,841
hydrogel,0,0.0,0.0,0.0,0,6.0,2.0,1,97,371,561,658,897,1099,1411,1678,1560,2513,2227
microstructure,0,9.0,0.0,0.0,0,0.0,12.0,11,64,179,215,323,444,501,622,669,639,757,790
nanoparticles,0,0.0,0.0,0.0,0,0.0,7.0,20,135,452,707,803,1198,1543,2046,2199,2770,3305,2778
polymer,0,0.0,0.0,10.0,0,10.0,17.0,48,474,1281,2072,2050,2718,3359,4410,4615,4350,5930,4812
regeneration,0,0.0,0.0,0.0,0,0.0,0.0,13,106,297,574,665,787,1031,1260,1506,1543,1831,1823
scaffold,0,8.0,0.0,0.0,0,0.0,14.0,20,279,588,993,1152,1349,1525,2468,2462,2238,2951,2546
tissue engineering,0,8.0,0.0,0.0,0,0.0,3.0,16,225,605,1012,1077,1425,1552,1941,1877,1817,2417,2242
