Years,bone,polymer,tissue engineering,hydrogel,scaffold,nanoparticles,adhesion,regeneration,microstructure,chitosan
2000,436.544,304.387,475.865,55.21,316.511,13.265,311.597,141.839,37.842,82.562
2001,400.323,385.885,466.78,63.83,298.967,14.064,299.128,162.423,51.431,84.824
2002,554.236,375.636,672.332,48.973,462.485,13.603,547.47,229.457,123.765,44.926
2003,732.509,636.513,848.846,90.484,608.413,9.026,557.183,298.481,116.09,145.056
2004,1123.9,640.285,1282.748,132.683,860.815,49.912,869.249,426.712,205.033,247.395
2005,1541.631,682.331,1439.324,85.823,966.277,108.565,843.837,425.125,138.988,249.512
2006,1121.288,751.448,1225.305,230.453,852.95,111.704,767.117,414.45,142.985,276.721
2007,1739.14,956.595,2205.467,281.166,1648.569,187.661,1265.802,835.825,146.453,355.388
2008,1807.134,1401.03,2144.411,320.162,1610.036,278.002,1236.218,808.275,259.065,507.441
2009,2329.849,1351.377,2774.523,312.66,2014.957,396.13,1270.933,981.214,241.525,494.218
2010,3223.065,1985.843,3994.226,424.223,3031.907,644.061,2110.501,1515.931,286.615,740.639
2011,3083.707,1899.484,3932.696,337.951,2881.183,691.484,1993.843,1554.934,229.088,793.45
2012,3522.177,2357.565,4312.93,652.726,3310.114,949.847,2273.614,1624.005,249.723,1039.626
2013,3699.216,2343.909,4629.983,713.283,3559.514,1255.416,2487.995,1798.425,381.022,955.694
2014,4828.958,2696.575,5859.583,776.236,4498.554,1436.886,2828.584,2246.081,471.177,1288.142
2015,3636.196,2400.873,4465.375,713.849,3390.443,1608.306,2305.939,1695.521,411.862,1160.297
2016,5768.495,3137.79,7017.604,1061.674,5418.648,1760.925,2963.407,2649.569,572.461,1721.87
2017,6402.346,4019.099,7975.064,1607.998,6074.866,2163.452,3648.483,3067.559,608.14,2185.536
2018,5636.83,3767.591,7099.993,1577.316,5600.117,2060.52,3112.008,2815.134,625.073,2011.191
