Years,bone,polymer,tissue engineering,hydrogel,scaffold,nanoparticles,adhesion,regeneration,microstructure,chitosan
1996,1,0,0,0,0,0,0,0,0,0
2000,1,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
2003,3,0,1,0,0,0,0,0,4,8
2004,23,0,1,0,2,0,0,0,0,0
2005,36,0,2,0,0,0,0,0,8,16
2006,291,34,31,1,34,6,85,6,88,176
2007,532,31,48,0,38,22,113,18,130,260
2008,598,31,39,0,35,32,320,20,96,192
2009,585,19,39,1,26,20,66,8,68,136
2010,459,20,45,1,31,30,109,10,40,80
2011,175,10,19,0,10,12,78,10,28,56
2012,90,13,7,0,9,20,29,4,24,48
2013,172,7,15,2,10,12,41,4,20,40
2014,157,12,22,3,16,14,36,4,40,80
2015,76,3,4,0,5,6,21,0,14,28
2016,57,0,10,0,4,6,9,0,20,40
2017,52,1,5,0,2,10,16,0,6,12
