,year,bone,polymer,tissue engineering,hydrogel,scaffold,nanoparticles,adhesion,regeneration,microstructure,chitosan
0,2000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2001,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2003,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
4,2004,23.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2005,37.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,16.0
6,2006,294.0,36.0,35.0,2.0,36.0,7.0,87.0,8.0,89.0,177.0
7,2007,535.0,34.0,53.0,0.0,38.0,22.0,114.0,18.0,130.0,260.0
8,2008,601.0,33.0,55.0,0.0,35.0,32.0,321.0,20.0,96.0,192.0
9,2009,594.0,20.0,48.0,1.0,26.0,20.0,66.0,10.0,68.0,136.0
10,2010,477.0,21.0,58.0,1.0,31.0,31.0,111.0,13.0,41.0,80.0
11,2011,196.0,11.0,35.0,1.0,10.0,14.0,79.0,12.0,28.0,56.0
12,2012,116.0,13.0,31.0,0.0,11.0,21.0,29.0,7.0,26.0,48.0
13,2013,219.0,10.0,33.0,2.0,11.0,12.0,44.0,10.0,26.0,40.0
14,2014,215.0,17.0,48.0,3.0,16.0,15.0,38.0,14.0,44.0,80.0
15,2015,114.0,5.0,21.0,0.0,5.0,6.0,22.0,7.0,19.0,28.0
16,2016,99.0,1.0,24.0,1.0,4.0,6.0,11.0,5.0,24.0,40.0
17,2017,97.0,3.0,16.0,1.0,3.0,11.0,19.0,7.0,8.0,13.0
