Date,microstructure,adhesion,scaffold,tissue engineering,polymer,regeneration,nanoparticles,hydrogel,chitosan,bone
2004-01,100,95,29,28,77,68,92,0,40,62
2004-02,70,85,15,100,96,100,77,60,30,77
2004-03,49,96,36,53,100,84,47,0,37,55
2004-04,39,88,37,96,84,83,55,87,39,56
2004-05,41,75,28,24,93,67,74,50,33,59
2004-06,17,75,16,47,83,79,74,100,100,50
2004-07,35,100,25,50,68,63,88,53,44,41
2004-08,48,62,12,57,70,44,70,49,40,44
2004-09,67,60,22,53,92,77,82,44,59,62
2004-10,30,79,29,76,81,93,84,92,23,75
2004-11,76,76,26,32,68,79,74,0,46,62
2004-12,78,88,27,40,69,61,66,64,21,47
2005-01,49,83,12,53,73,78,79,37,31,61
2005-02,52,86,25,74,91,80,82,79,26,62
2005-03,33,51,21,70,79,79,82,33,11,55
2005-04,31,58,12,61,71,89,82,37,49,62
2005-05,32,72,49,53,73,56,76,32,43,65
2005-06,33,60,18,23,72,49,80,65,44,47
2005-07,50,63,29,39,66,57,76,0,11,43
2005-08,27,46,31,23,66,48,74,32,27,46
2005-09,34,93,9,41,76,41,61,29,19,58
2005-10,23,65,37,83,71,61,95,27,27,71
2005-11,36,73,24,51,59,49,92,41,18,62
2005-12,35,50,40,31,58,48,73,53,35,47
2006-01,35,55,30,55,61,48,72,35,12,52
2006-02,24,64,27,23,74,78,80,0,20,61
2006-03,27,84,30,34,63,70,80,21,21,58
2006-04,45,72,40,90,52,67,67,34,19,54
2006-05,41,59,39,72,61,48,69,51,20,54
2006-06,43,59,38,25,64,55,55,65,29,41
2006-07,14,52,51,55,52,45,63,21,11,38
2006-08,20,50,38,65,53,42,60,20,23,37
2006-09,22,57,33,40,56,54,65,19,19,51
2006-10,29,67,46,41,52,50,66,17,20,58
2006-11,22,58,50,12,62,49,72,17,25,55
2006-12,20,50,38,37,41,43,65,35,23,43
2007-01,10,57,47,43,53,60,80,0,20,45
2007-02,27,47,45,30,42,44,62,40,19,43
2007-03,23,48,54,20,47,61,61,28,28,48
2007-04,29,57,51,37,49,61,69,43,26,49
2007-05,10,42,52,59,51,55,75,63,23,48
2007-06,15,46,66,42,51,41,81,26,36,39
2007-07,17,42,67,48,46,35,69,25,21,38
2007-08,14,46,56,37,43,37,61,36,30,40
2007-09,18,60,62,22,50,41,64,0,33,52
2007-10,26,75,50,25,52,62,72,16,21,60
2007-11,36,62,71,22,53,53,68,10,19,52
2007-12,33,47,95,18,46,37,60,22,17,42
2008-01,14,60,100,18,48,42,64,29,21,46
2008-02,15,45,93,16,42,54,72,20,20,53
2008-03,20,55,99,22,45,48,77,28,31,50
2008-04,21,52,90,28,49,48,82,83,24,49
2008-05,15,39,99,24,47,34,72,36,30,46
2008-06,15,41,72,26,43,32,70,33,26,42
2008-07,18,39,75,24,39,34,67,27,35,35
2008-08,18,41,69,28,35,32,63,23,15,36
2008-09,31,55,75,18,47,37,69,17,14,52
2008-10,36,59,55,29,44,44,67,34,20,60
2008-11,26,58,60,32,40,50,76,16,28,48
2008-12,16,43,45,19,35,42,61,8,17,38
2009-01,11,43,46,31,41,38,64,11,22,42
2009-02,32,44,61,14,46,51,73,27,28,52
2009-03,26,51,60,49,47,42,77,20,25,51
2009-04,33,54,42,23,45,44,92,32,25,46
2009-05,23,42,41,25,38,46,77,13,23,44
2009-06,12,41,59,20,40,32,75,13,25,39
2009-07,19,36,47,19,36,26,74,17,26,34
2009-08,10,36,44,13,35,37,71,23,25,35
2009-09,28,62,47,15,50,39,70,34,19,51
2009-10,31,53,43,41,51,38,82,17,24,62
