Date,microstructure,adhesion,scaffold,tissue engineering,polymer,regeneration,nanoparticles,hydrogel,chitosan,bone
2008-01,0,54,0,0,0,0,0,0,0,19
2008-02,0,0,0,0,39,0,45,0,0,21
2008-03,0,0,0,0,0,47,40,0,0,23
2008-04,0,0,0,0,34,0,0,0,0,25
2008-05,0,43,0,0,0,44,0,0,0,34
2008-06,0,0,0,0,0,44,0,0,0,27
2008-07,0,82,0,0,0,42,71,0,0,20
2008-08,0,0,0,0,56,0,0,0,0,24
2008-09,0,0,0,0,28,0,65,0,0,34
2008-10,0,34,0,0,0,35,0,0,0,24
2008-11,0,0,0,0,0,34,0,0,0,22
2008-12,0,0,0,86,0,0,28,0,0,20
2009-01,0,32,0,0,0,0,28,0,0,21
2009-02,0,0,0,0,48,33,28,0,0,22
2009-03,0,0,0,0,21,0,25,0,0,22
2009-04,0,0,0,0,23,0,0,0,0,21
2009-05,0,0,0,76,0,29,25,0,0,20
2009-06,0,0,0,0,25,0,30,0,0,20
2009-07,0,0,0,0,19,0,23,0,0,19
2009-08,0,25,44,67,19,0,22,0,0,26
2009-09,0,100,0,0,37,25,22,0,0,27
2009-10,0,23,0,0,25,0,20,0,0,40
2009-11,0,23,40,0,0,23,20,0,0,33
2009-12,0,22,0,0,33,23,38,0,0,24
2010-01,0,0,0,57,24,54,19,0,0,36
2010-02,0,22,0,0,16,45,29,0,0,21
2010-03,0,20,0,0,30,51,35,0,0,32
2010-04,0,0,0,0,0,41,18,0,0,28
2010-05,0,0,0,49,0,19,33,0,50,24
2010-06,0,19,0,0,29,59,17,0,0,18
2010-07,0,28,33,0,14,29,16,0,0,25
2010-08,0,19,0,0,14,38,0,0,0,21
2010-09,71,19,33,49,28,38,0,0,0,33
2010-10,0,26,0,47,26,18,31,0,0,35
2010-11,0,17,0,0,13,27,30,0,0,30
2010-12,0,34,0,45,25,34,36,0,0,24
2011-01,63,0,29,44,18,34,22,0,0,23
2011-02,0,35,61,46,19,0,15,0,0,25
2011-03,58,15,0,0,11,15,33,0,0,30
2011-04,0,32,28,0,12,32,28,0,0,22
2011-05,0,23,26,0,17,23,20,0,41,20
2011-06,0,16,54,0,23,0,14,0,0,27
2011-07,0,15,0,0,11,31,20,0,0,25
2011-08,0,23,0,0,17,15,26,0,0,21
2011-09,0,26,31,0,36,9,15,0,23,33
2011-10,0,17,19,0,8,34,24,0,0,28
2011-11,0,28,24,0,36,56,30,0,36,28
2011-12,0,0,23,35,25,14,12,70,0,23
2012-01,0,13,23,0,10,27,17,0,0,26
2012-02,0,27,0,36,30,28,59,0,0,26
2012-03,0,26,0,0,44,40,23,0,0,28
2012-04,0,0,0,0,10,14,29,0,0,26
2012-05,0,13,23,35,15,27,29,0,0,27
2012-06,0,40,0,35,25,20,29,70,0,22
2012-07,0,40,0,0,30,14,11,0,0,23
2012-08,0,0,23,35,30,0,40,0,0,23
2012-09,51,26,23,35,19,13,17,0,0,31
2012-10,0,62,21,0,41,44,38,0,33,40
2012-11,0,31,0,0,51,38,22,0,0,33
2012-12,0,19,21,33,59,38,32,64,0,25
2013-01,47,25,21,0,37,25,32,64,0,22
2013-02,0,26,23,0,54,34,46,0,0,34
2013-03,46,30,21,31,35,36,26,0,0,30
2013-04,48,25,22,33,23,26,38,0,33,27
2013-05,0,42,21,32,49,43,47,0,0,24
2013-06,0,25,21,33,36,25,32,0,0,25
2013-07,47,18,42,32,27,38,32,0,0,21
2013-08,0,0,43,0,18,19,32,0,0,26
2013-09,0,37,43,0,37,50,21,0,0,31
2013-10,93,30,0,0,45,31,32,0,0,49
2013-11,47,25,0,0,36,31,59,0,0,26
2013-12,0,37,43,0,36,37,37,0,32,23
2014-01,47,31,0,0,27,44,53,64,0,23
2014-02,0,33,23,70,25,34,58,0,0,28
2014-03,0,12,32,32,54,100,64,0,33,32
2014-04,48,62,65,0,41,19,49,0,0,37
2014-05,39,20,18,27,38,31,36,53,0,31
2014-06,0,39,23,0,39,27,23,0,0,26
2014-07,0,26,23,0,34,27,40,0,0,24
2014-08,0,32,45,0,48,13,39,0,34,27
2014-09,0,53,45,0,78,53,63,0,0,41
2014-10,49,19,0,34,28,45,50,66,0,51
2014-11,0,26,23,0,57,40,34,0,0,32
2014-12,0,32,22,0,42,32,39,67,100,31
2015-01,75,33,68,0,58,47,45,67,0,37
2015-02,0,35,36,0,46,35,24,0,0,35
2015-03,0,19,22,100,33,32,77,0,50,38
2015-04,51,0,23,35,59,48,81,0,0,30
2015-05,0,25,22,0,24,32,44,0,0,25
2015-06,0,40,46,0,29,40,63,0,0,32
2015-07,50,13,23,0,29,27,34,68,35,23
2015-08,100,13,23,0,34,54,51,0,0,28
2015-09,50,46,57,34,58,53,45,0,0,31
2015-10,47,37,21,33,41,38,70,0,0,43
2015-11,48,31,44,0,65,64,54,65,33,36
2015-12,0,31,0,0,37,82,59,0,0,33
2016-01,0,43,21,0,46,57,59,64,0,33
2016-02,50,26,46,0,48,40,80,68,0,44
2016-03,56,14,100,0,43,22,63,0,0,41
2016-04,46,24,21,0,27,31,63,63,0,39
2016-05,0,64,22,34,61,13,55,0,34,34
2016-06,0,34,23,0,65,41,47,70,0,30
2016-07,0,14,24,0,40,49,71,0,0,26
2016-08,0,54,24,0,50,41,35,0,0,36
2016-09,0,41,0,0,51,28,54,71,0,57
2016-10,50,45,23,68,57,40,84,67,0,83
2016-11,52,47,59,0,70,55,100,0,0,85
2016-12,74,39,0,34,71,52,78,100,0,87
2017-01,50,58,22,0,100,52,95,0,0,91
2017-02,0,27,0,36,41,56,48,71,0,95
